PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_IDGRUPOCONTROL;REQUIREMENTS_ATTRIBUTES_MARCO;REQUIREMENTS_ATTRIBUTES_CATEGORIA;REQUIREMENTS_ATTRIBUTES_DESCRIPCIONCONTROL;REQUIREMENTS_ATTRIBUTES_NIVEL;REQUIREMENTS_ATTRIBUTES_TIPO;REQUIREMENTS_ATTRIBUTES_DIMENSIONES;REQUIREMENTS_ATTRIBUTES_MODOEJECUCION;REQUIREMENTS_ATTRIBUTES_DEPENDENCIAS;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.exp.8.r4.aws.ct.7;Control de acceso;op.exp.8.r4;operacional;explotación;Cifrado de los trails con KMS;alto;refuerzo;trazabilidad;automático;;FAIL;Single region trail cloudguardian-trail has encryption disabled.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_kms_encryption_enabled;False;cloudguardian-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.exp.8.aws.ct.3;Registro de actividad;op.exp.8;operacional;explotación;Habilitar la validación de archivos en todos los trails, evitando así que estos se vean modificados o eliminados.;alto;requisito;trazabilidad;automático;;FAIL;Single region trail cloudguardian-trail has log file validation disabled.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_log_file_validation_enabled;False;cloudguardian-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.exp.8.r1.aws.ct.6;Revisión de los registros;op.exp.8.r1;operacional;explotación;Habilitar la entrega continua de eventos de CloudTrail a un bucket de Amazon S3;alto;refuerzo;trazabilidad;automático;;FAIL;Single region Trail cloudguardian-trail S3 bucket access logging is not enabled for bucket cloudguardian-data-c8f4e2a3.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_logs_s3_bucket_access_logging_enabled;False;cloudguardian-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.exp.8.r4.aws.ct.5;Control de acceso;op.exp.8.r4;operacional;explotación;El almacén de logs de CloudTrail no debería ser accesible de forma pública;alto;refuerzo;trazabilidad;automático;;FAIL;Single region Trail cloudguardian-trail S3 bucket access logging is not enabled for bucket cloudguardian-data-c8f4e2a3.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_logs_s3_bucket_access_logging_enabled;False;cloudguardian-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.exp.8.aws.ct.4;Registro de actividad;op.exp.8;operacional;explotación;Habilitar la entrega continua de eventos de CloudTrail a un bucket S3 dedicado con el fin de unificar los archivos de registro.;alto;requisito;trazabilidad;automático;;PASS;S3 Bucket cloudguardian-data-c8f4e2a3 from single region trail cloudguardian-trail is not publicly accessible.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_logs_s3_bucket_is_not_publicly_accessible;False;cloudguardian-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.exp.8.r4.aws.ct.2;Control de acceso;op.exp.8.r4;operacional;explotación;Utilizar una política de bucket para restringir el acceso de forma pública e imponer restricciones sobre cuáles de los usuarios pueden eliminar objetos de Amazon S3.;alto;refuerzo;trazabilidad;automático;;PASS;S3 Bucket cloudguardian-data-c8f4e2a3 from single region trail cloudguardian-trail is not publicly accessible.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_logs_s3_bucket_is_not_publicly_accessible;False;cloudguardian-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.exp.8.r4.aws.ct.6;Control de acceso;op.exp.8.r4;operacional;explotación;El almacén de logs de CloudTrail no debería ser accesible de forma pública  (ACLs);alto;refuerzo;trazabilidad;automático;;PASS;S3 Bucket cloudguardian-data-c8f4e2a3 from single region trail cloudguardian-trail is not publicly accessible.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_logs_s3_bucket_is_not_publicly_accessible;False;cloudguardian-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.acc.6.r5.aws.iam.1;Registro;op.acc.6.r5;operacional;control de acceso;Para registrar los intentos de acceso, se deberá habilitar CloudTrail en todas las regiones y activar el registro de acceso de usuarios.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;PASS;Trail cloudguardian-trail is not multiregion and it is logging.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_multi_region_enabled;False;cloudguardian-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.exp.5.aws.ct.1;Gestión de cambios;op.exp.5;operacional;explotación;Asegurar que CloudTrail esté activo para todas las regiones.;alto;recomendacion;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;PASS;Trail cloudguardian-trail is not multiregion and it is logging.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_multi_region_enabled;False;cloudguardian-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.exp.8.aws.ct.1;Registro de actividad;op.exp.8;operacional;explotación;Habilitar la herramienta CloudTrail en todas las regiones. Este serviio está habilitado por defecto cuando se crea una nueva cuenta, pero es posible deshabilitarlo.;alto;requisito;trazabilidad;automático;;PASS;Trail cloudguardian-trail is not multiregion and it is logging.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_multi_region_enabled;False;cloudguardian-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.exp.8.aws.ct.6;Registro de actividad;op.exp.8;operacional;explotación;Activar el servicio de AWS CloudTrail para registrar la actividad de los usuarios relativa a la configuración de los servicios VPN Site-to-Site y AWS DirectConnect;alto;medida;trazabilidad;automático;;PASS;Trail cloudguardian-trail is not multiregion and it is logging.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_multi_region_enabled;False;cloudguardian-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.exp.9.aws.ct.1;Registro de la gestión de incidentes;op.exp.9;operacional;explotación;Habilitar AWS Incident Manager y AWS CloudTrail en todas las regiones con el fin de recopilar información para generar contenido prescriptivo para la creación de informes exigidos por la medida de seguridad.;alto;recomendacion;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;PASS;Trail cloudguardian-trail is not multiregion and it is logging.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_multi_region_enabled;False;cloudguardian-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.mon.1.aws.ct.1;Detección de intrusión;op.mon.1;operacional;monitorización del sistema;Activar el servicio de eventos AWS CloudTrail para todas las regiones.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;PASS;Trail cloudguardian-trail is not multiregion and it is logging.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_multi_region_enabled;False;cloudguardian-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.exp.8.r1.aws.ct.2;Revisión de los registros;op.exp.8.r1;operacional;explotación;Configurar la herramienta CloudTrail de manera que realice el registro de eventos de administración, eventos de datos y eventos anómalos (insights).;alto;refuerzo;trazabilidad;automático;;FAIL;No CloudTrail trails have a data event to record all S3 object-level API operations.;arn:aws:cloudtrail:ap-south-1:735291151388:trail;cloudtrail_s3_dataevents_read_enabled;False;735291151388;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.exp.8.r1.aws.ct.3;Revisión de los registros;op.exp.8.r1;operacional;explotación;Registrar los eventos de lectura y escritura de datos.;alto;refuerzo;trazabilidad;automático;;FAIL;No CloudTrail trails have a data event to record all S3 object-level API operations.;arn:aws:cloudtrail:ap-south-1:735291151388:trail;cloudtrail_s3_dataevents_read_enabled;False;735291151388;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.exp.8.r1.aws.ct.4;Revisión de los registros;op.exp.8.r1;operacional;explotación;Registrar los eventos de lectura y escritura de datos.;alto;refuerzo;trazabilidad;automático;;FAIL;No CloudTrail trails have a data event to record all S3 object-level API operations.;arn:aws:cloudtrail:ap-south-1:735291151388:trail;cloudtrail_s3_dataevents_read_enabled;False;735291151388;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.exp.8.aws.ct.4;Registro de actividad;op.exp.8;operacional;explotación;Habilitar la entrega continua de eventos de CloudTrail a un bucket S3 dedicado con el fin de unificar los archivos de registro.;alto;requisito;trazabilidad;automático;;FAIL;No CloudTrail trails have a data event to record all S3 object-level API operations.;arn:aws:cloudtrail:ap-south-1:735291151388:trail;cloudtrail_s3_dataevents_write_enabled;False;735291151388;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.exp.8.r1.aws.ct.2;Revisión de los registros;op.exp.8.r1;operacional;explotación;Configurar la herramienta CloudTrail de manera que realice el registro de eventos de administración, eventos de datos y eventos anómalos (insights).;alto;refuerzo;trazabilidad;automático;;FAIL;No CloudTrail trails have a data event to record all S3 object-level API operations.;arn:aws:cloudtrail:ap-south-1:735291151388:trail;cloudtrail_s3_dataevents_write_enabled;False;735291151388;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.exp.8.r1.aws.ct.3;Revisión de los registros;op.exp.8.r1;operacional;explotación;Registrar los eventos de lectura y escritura de datos.;alto;refuerzo;trazabilidad;automático;;FAIL;No CloudTrail trails have a data event to record all S3 object-level API operations.;arn:aws:cloudtrail:ap-south-1:735291151388:trail;cloudtrail_s3_dataevents_write_enabled;False;735291151388;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.exp.8.r1.aws.ct.4;Revisión de los registros;op.exp.8.r1;operacional;explotación;Registrar los eventos de lectura y escritura de datos.;alto;refuerzo;trazabilidad;automático;;FAIL;No CloudTrail trails have a data event to record all S3 object-level API operations.;arn:aws:cloudtrail:ap-south-1:735291151388:trail;cloudtrail_s3_dataevents_write_enabled;False;735291151388;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.acc.4.aws.iam.1;Proceso de gestión de derechos de acceso;op.acc.4;operacional;control de acceso;Las políticas IAM deben permitir sólo los privilegios necesarios para cada rol. Se recomienda comenzar con el mínimo nivel de permisos e ir añadiendo permisos adicionales según vaya surgiendo la necesidad en lugar de comenzar con permisos administrativos.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad;automático;;PASS;CloudWatch doesn't allow cross-account sharing.;arn:aws:iam:ap-south-1:735291151388:role;cloudwatch_cross_account_sharing_disabled;False;735291151388;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.exp.8.aws.ct.2;Registro de actividad;op.exp.8;operacional;explotación;Establecer un filtro de métricas desde AWS CloudWatch para detectar cambios en las configuraciones de CloudTrail;alto;requisito;trazabilidad;automático;;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:ap-south-1:735291151388:log-group;cloudwatch_log_metric_filter_and_alarm_for_cloudtrail_configuration_changes_enabled;False;735291151388;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.exp.8.r1.aws.ct.2;Revisión de los registros;op.exp.8.r1;operacional;explotación;Configurar la herramienta CloudTrail de manera que realice el registro de eventos de administración, eventos de datos y eventos anómalos (insights).;alto;refuerzo;trazabilidad;automático;;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:ap-south-1:735291151388:log-group;cloudwatch_log_metric_filter_and_alarm_for_cloudtrail_configuration_changes_enabled;False;735291151388;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.exp.8.r1.aws.ct.3;Revisión de los registros;op.exp.8.r1;operacional;explotación;Registrar los eventos de lectura y escritura de datos.;alto;refuerzo;trazabilidad;automático;;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:ap-south-1:735291151388:log-group;cloudwatch_log_metric_filter_and_alarm_for_cloudtrail_configuration_changes_enabled;False;735291151388;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;op.exp.8.aws.ct.5;Registro de actividad;op.exp.8;operacional;explotación;Se deberán habilitar alertas para los siguientes eventos: * Llamadas no permitidas a la API, * Accesos no permitidos a la consola, * Todos los intentos de acceso sin el correcto uso de MFA, * Toda la actividad realizada sobre y por la cuenta root, * Cualquier cambio en las políticas IAM;alto;recomendacion;trazabilidad;automático;;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:ap-south-1:735291151388:log-group;cloudwatch_log_metric_filter_authentication_failures;False;735291151388;ENS;ENS RD 311/2022 - Categoría Alta
