check_id,title,severity,service,region,resource_name,resource_arn,status_detail,description,risk,remediation,tool,cloud_provider,finding_id,account_id,scan_date,cvss_score,exposure_score,blast_radius,priority_score,priority_band,risk_label,ai_risk_level_baseline,ai_confidence_baseline,ai_score,ai_risk_level,ai_confidence
storage_public_network_access,Storage Account Reachable From Any Network,high,storage,,stcloudguardianlab6thil,,public_network_access=Allow — not restricted to VNet or trusted IPs.,Storage Account Reachable From Any Network,The storage account can be reached from any network on the internet.,"Set public_network_access to Disabled, or restrict via firewall/VNet rules.",Steampipe,Azure,FND-0318,Azure-Subscription,2026-07-04,7.5,3,3,67.5,P1 - HIGH,MEDIUM,MEDIUM,0.521,3.91,MEDIUM,0.635
storage_allow_blob_public_access,Storage Account Allows Public Blob Access,high,storage,,stcloudguardianlab6thil,,allow_blob_public_access=true — the account permits containers/blobs to be made public.,Storage Account Allows Public Blob Access,"Combined with a public container ACL, data becomes readable by anyone on the internet.",Set allow_blob_public_access=false at the storage account level.,Steampipe,Azure,FND-0317,Azure-Subscription,2026-07-04,7.5,3,3,67.5,P1 - HIGH,MEDIUM,MEDIUM,0.56,4.2,MEDIUM,0.63
ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22,Security group does not allow ingress from 0.0.0.0/0 or ::/0 to TCP port 22 (SSH),high,ec2,ap-south-1,sg-0fdba0a657788f1d7,arn:aws:ec2:ap-south-1:735291151388:security-group/sg-0fdba0a657788f1d7,Security group cloudguardian-web-sg (sg-0fdba0a657788f1d7) has SSH port 22 open to the Internet.,"**EC2 security groups** are assessed for **inbound SSH exposure** by locating ingress rules that allow `TCP 22` from the Internet (`0.0.0.0/0` or `::/0`).

Only groups in use are considered; sets already flagged for all-port exposure are not repeated.","Exposed **SSH** invites Internet-scale **brute force** and **credential stuffing**. A successful login grants **remote shell**, enabling data theft (confidentiality), code or config tampering (integrity), and cryptomining or service disruption (availability), plus **lateral movement** within the environment.","Apply **least privilege** to SSH:
- Disallow `0.0.0.0/0` and `::/0`; allow only trusted IPs or VPN ranges
- Prefer **private access** via bastion hosts or AWS Systems Manager Session Manager
- Enforce **key-based auth**, disable passwords, rotate keys
- Add **network segmentation** and monitoring for **defense in depth**",Prowler v4,AWS,FND-0051,735291151388,2026-07-11,7.5,3,3,67.5,P1 - HIGH,MEDIUM,HIGH,0.681,5.11,MEDIUM,0.513
network_http_internet_access_restricted,Network security group restricts inbound HTTP (port 80) access from the Internet,high,network,centralus,nsg-web-cloudguardian-lab,/subscriptions/7e3283a3-d466-4e6f-95b1-543eec016e08/resourceGroups/rg-cloudguardian-lab/providers/Microsoft.Network/networkSecurityGroups/nsg-web-cloudguardian-lab,Security Group nsg-web-cloudguardian-lab from subscription Azure subscription 1 (7e3283a3-d466-4e6f-95b1-543eec016e08) has HTTP internet access allowed.,"**Azure NSG** are evaluated for inbound rules that allow public **HTTP** access on `TCP 80`, including cases where `80` is covered by a port range, from `0.0.0.0/0`, `Internet`, or `*`.","Exposing `TCP 80` to the Internet increases attack surface:
- Web recon and exploits compromise **integrity** and **availability**
- Cleartext HTTP can leak credentials, cookies, and data, harming **confidentiality**
- Public endpoints enable bot abuse and footholds for lateral movement","Apply **least privilege** at NSGs:
- Remove broad allows to `TCP 80`, or restrict to trusted sources
- Enforce **HTTPS (443)** and redirect or block HTTP
- Use **private access** patterns and segmentation for **defense in depth**
- If exposure is necessary, place services behind a **WAF**, enable **DDoS** protections, and monitor",Prowler v4,Azure,FND-0167,Azure-Subscription,2026-07-04,7.5,3,3,67.5,P1 - HIGH,MEDIUM,HIGH,0.542,4.07,MEDIUM,0.649
sg_ssh_open_to_internet,Security Group Allows SSH (22) from 0.0.0.0/0,high,ec2,,launch-wizard-1,,"group_name=launch-wizard-1, group_id=sg-0aaba2fb7e64252aa, from_port=22, to_port=22, ip_ranges=[{""CidrIp"":""0.0.0.0/0"",""Description"":null}]",Security group permits inbound SSH from any IP address on the internet.,Brute-force / credential-stuffing attacks possible from anywhere.,"Restrict SSH ingress to a trusted IP range, VPN, or bastion host.",Steampipe,AWS,FND-0297,735291151388,2026-07-11,7.5,3,3,67.5,P1 - HIGH,HIGH,HIGH,0.728,5.46,MEDIUM,0.521
ec2_securitygroup_allow_ingress_from_internet_to_any_port,"Security group has no 0.0.0.0/0 or ::/0 ingress to any port, or is attached only to allowed interface types or instance owners",high,ec2,ap-south-1,sg-0fdba0a657788f1d7,arn:aws:ec2:ap-south-1:735291151388:security-group/sg-0fdba0a657788f1d7,Security group cloudguardian-web-sg (sg-0fdba0a657788f1d7) has at least one port open to the Internet but its network interface type (interface) is not allowed.,"**EC2 security groups** with **internet-sourced ingress** from `0.0.0.0/0` or `::/0` to any port, and their attachments, are evaluated. Groups linked to network interfaces or instance owners outside an approved list for public exposure are identified.","Open ingress to any port on non-approved interfaces enables external scanning, brute force, and exploitation of unintended services. This threatens **confidentiality** (unauthorized access), **integrity** (tampering), and **availability** (DoS), and facilitates **lateral movement**.","Apply **least privilege**: restrict ingress to required ports and trusted sources; avoid `0.0.0.0/0` and `::/0` except for managed public endpoints. Place workloads behind **load balancers**, **API gateways**, or **WAFs**; use **private networking**. Allow public rules only on approved interface types.",Prowler v4,AWS,FND-0049,735291151388,2026-07-11,7.5,3,3,67.5,P1 - HIGH,MEDIUM,HIGH,0.71,5.32,MEDIUM,0.507
sg_ssh_open_to_internet,Security Group Allows SSH (22) from 0.0.0.0/0,high,ec2,,cloudguardian-web-sg,,"group_name=cloudguardian-web-sg, group_id=sg-0fdba0a657788f1d7, from_port=22, to_port=22, ip_ranges=[{""CidrIp"":""0.0.0.0/0"",""Description"":null}]",Security group permits inbound SSH from any IP address on the internet.,Brute-force / credential-stuffing attacks possible from anywhere.,"Restrict SSH ingress to a trusted IP range, VPN, or bastion host.",Steampipe,AWS,FND-0298,735291151388,2026-07-11,7.5,3,3,67.5,P1 - HIGH,HIGH,HIGH,0.731,5.48,MEDIUM,0.506
ec2_instance_internet_facing_with_instance_profile,EC2 instance is not internet-facing with an instance profile attached,high,ec2,ap-south-1,i-0c7395c282641f31e,arn:aws:ec2:ap-south-1:735291151388:instance/i-0c7395c282641f31e,EC2 Instance i-0c7395c282641f31e at IP 13.207.69.17 is internet-facing with Instance Profile arn:aws:iam::735291151388:instance-profile/cloudguardian-web-profile.,"**EC2 instances** with a public IP address and an attached **instance profile** (IAM role) are identified.

Instances lacking public exposure or without an instance profile are excluded.","Publicly reachable instances with **IAM role credentials** expand the blast radius. Remote exploits or misconfigurations can steal credentials via the **instance metadata service**, enabling unauthorized API calls, data exfiltration, and lateral movement, impacting confidentiality, integrity, and availability.",Avoid direct Internet exposure. Place workloads behind an **Application Load Balancer** and protect HTTP apps with **WAF**. Remove public IPs or restrict ingress to trusted sources. Apply **least privilege** to instance profiles and enforce **IMDSv2**. Use **bastion hosts** or **Session Manager** for admin access.,Prowler v4,AWS,FND-0039,735291151388,2026-07-11,7.5,3,3,67.5,P1 - HIGH,MEDIUM,HIGH,0.71,5.32,MEDIUM,0.506
network_ssh_internet_access_restricted,Network security group does not allow inbound SSH (TCP port 22) from the Internet,high,network,centralus,nsg-web-cloudguardian-lab,/subscriptions/7e3283a3-d466-4e6f-95b1-543eec016e08/resourceGroups/rg-cloudguardian-lab/providers/Microsoft.Network/networkSecurityGroups/nsg-web-cloudguardian-lab,Security Group nsg-web-cloudguardian-lab from subscription Azure subscription 1 (7e3283a3-d466-4e6f-95b1-543eec016e08) has SSH internet access allowed.,"**Azure NSG** inbound rules that allow **SSH** on `TCP 22` from `0.0.0.0/0`, `Internet`, or `*` are identified, including rules where port ranges include `22` and protocol is `TCP` or `*`.

Indicates NSGs exposing SSH to the Internet.","Public **SSH** access weakens **confidentiality** and **integrity**. Open `22` invites brute force and key theft, enabling remote shell control, persistence, and **lateral movement**. Attackers can pivot into VNets, exfiltrate data, deploy crypto-miners, and impact **availability**.","Apply **least privilege** on SSH:
- Remove public rules to `TCP 22` from `0.0.0.0/0`
- Allowlist specific admin IPs or management subnets
- Prefer **Azure Bastion**, **JIT access**, or **VPN/ExpressRoute** for admin
- Use key-based auth, disable passwords, and remove unnecessary public IPs

Adopt **defense in depth** with logging and periodic reviews.",Prowler v4,Azure,FND-0168,Azure-Subscription,2026-07-04,7.5,3,3,67.5,P1 - HIGH,MEDIUM,HIGH,0.626,4.7,MEDIUM,0.544
ec2_networkacl_allow_ingress_any_port,Network ACL does not allow ingress from 0.0.0.0/0 to any port,high,ec2,ap-south-1,acl-055a0136ea4bc4585,arn:aws:ec2:ap-south-1:735291151388:network-acl/acl-055a0136ea4bc4585,Network ACL acl-055a0136ea4bc4585 has every port open to the Internet.,**VPC network ACLs** with **inbound entries** that permit traffic from `0.0.0.0/0` to any port (any protocol) are identified at the subnet boundary.,"Allowing Internet-wide ingress at the subnet layer enables broad port scanning and unsolicited connections. Attackers can probe and exploit exposed services, risking data disclosure and tampering (confidentiality, integrity) and causing outages via floods or brute-force (availability). Any security group lapse then lacks a compensating control.","Adopt a **deny-by-default** NACL posture: block `0.0.0.0/0` and allow only required ports from trusted CIDRs. Apply **least privilege** using security groups for fine-grained access, with NACLs as coarse stateless filters. Review and prune rules regularly, and employ **defense in depth** with monitoring and alerting.",Prowler v4,AWS,FND-0043,735291151388,2026-07-11,7.5,3,3,67.5,P1 - HIGH,MEDIUM,HIGH,0.729,5.47,MEDIUM,0.526
storage_blob_public_access_level_is_disabled,Storage account has 'Allow Blob Anonymous Access' disabled,high,storage,centralus,stcloudguardianlab6thil,/subscriptions/7e3283a3-d466-4e6f-95b1-543eec016e08/resourceGroups/rg-cloudguardian-lab/providers/Microsoft.Storage/storageAccounts/stcloudguardianlab6thil,Storage account stcloudguardianlab6thil from subscription Azure subscription 1 (7e3283a3-d466-4e6f-95b1-543eec016e08) has allow blob public access enabled.,"**Azure Storage accounts** with **blob anonymous (public) access** disabled prevent containers or blobs from being set to a public access level. Setting `allowBlobPublicAccess` to `false` enforces no anonymous reads across the account. This is independent from the account's 'Public Network Access' setting, which is evaluated by storage_account_public_network_access_disabled.","Allowing public access permits unauthenticated users to read blob data or enumerate container contents when any container is made public, compromising confidentiality.

Exposed objects can be scraped at scale, enabling data exfiltration and intelligence gathering without audit attribution.","Disable **blob public access** at the account and enforce authenticated access based on **least privilege**. Prefer **private endpoints** or restricted networks, use short-lived `SAS` or federated identities, and apply **RBAC** with container-level permissions. Monitor access and review exposure regularly.",Prowler v4,Azure,FND-0266,Azure-Subscription,2026-07-04,7.5,3,3,67.5,P1 - HIGH,MEDIUM,MEDIUM,0.559,4.19,MEDIUM,0.538
storage_account_public_network_access_disabled,Storage account has 'Public Network Access' disabled,high,storage,centralus,stcloudguardianlab6thil,/subscriptions/7e3283a3-d466-4e6f-95b1-543eec016e08/resourceGroups/rg-cloudguardian-lab/providers/Microsoft.Storage/storageAccounts/stcloudguardianlab6thil,Storage account stcloudguardianlab6thil from subscription Azure subscription 1 (7e3283a3-d466-4e6f-95b1-543eec016e08) has public network access enabled.,**Azure Storage accounts** with **public network access** disabled cannot be reached from public networks. Setting `publicNetworkAccess` to `Disabled` overrides the public access settings of individual containers and forces access through private endpoints or trusted services. This is independent from the 'Allow Blob Anonymous Access' setting.,"Leaving **public network access** enabled exposes the storage account endpoints to the **public Internet**, widening the attack surface and undermining **defense in depth**.

This increases the risk of **unauthorized access**, **data exfiltration**, and reconnaissance against the account, especially when combined with weak network rules or overly permissive access policies.","Disable **public network access** on the storage account and reach it through **private endpoints** or trusted Azure services only. Combine this with **least privilege** RBAC, short-lived `SAS` tokens, and network restrictions. Validate client connectivity before disabling public access in production.",Prowler v4,Azure,FND-0265,Azure-Subscription,2026-07-04,7.5,3,3,67.5,P1 - HIGH,MEDIUM,MEDIUM,0.552,4.14,MEDIUM,0.63
network_ssh_internet_access_restricted,Network security group does not allow inbound SSH (TCP port 22) from the Internet,high,network,centralus,nsg-web-cloudguardian-lab,/subscriptions/7e3283a3-d466-4e6f-95b1-543eec016e08/resourceGroups/rg-cloudguardian-lab/providers/Microsoft.Network/networkSecurityGroups/nsg-web-cloudguardian-lab,Security Group nsg-web-cloudguardian-lab from subscription Azure subscription 1 (7e3283a3-d466-4e6f-95b1-543eec016e08) has SSH internet access allowed.,"**Azure NSG** inbound rules that allow **SSH** on `TCP 22` from `0.0.0.0/0`, `Internet`, or `*` are identified, including rules where port ranges include `22` and protocol is `TCP` or `*`.

Indicates NSGs exposing SSH to the Internet.","Public **SSH** access weakens **confidentiality** and **integrity**. Open `22` invites brute force and key theft, enabling remote shell control, persistence, and **lateral movement**. Attackers can pivot into VNets, exfiltrate data, deploy crypto-miners, and impact **availability**.","Apply **least privilege** on SSH:
- Remove public rules to `TCP 22` from `0.0.0.0/0`
- Allowlist specific admin IPs or management subnets
- Prefer **Azure Bastion**, **JIT access**, or **VPN/ExpressRoute** for admin
- Use key-based auth, disable passwords, and remove unnecessary public IPs

Adopt **defense in depth** with logging and periodic reviews.",Prowler v4,Azure,FND-0250,Azure-Subscription,2026-07-04,7.5,3,3,67.5,P1 - HIGH,MEDIUM,HIGH,0.589,4.42,MEDIUM,0.551
network_http_internet_access_restricted,Network security group restricts inbound HTTP (port 80) access from the Internet,high,network,centralus,nsg-web-cloudguardian-lab,/subscriptions/7e3283a3-d466-4e6f-95b1-543eec016e08/resourceGroups/rg-cloudguardian-lab/providers/Microsoft.Network/networkSecurityGroups/nsg-web-cloudguardian-lab,Security Group nsg-web-cloudguardian-lab from subscription Azure subscription 1 (7e3283a3-d466-4e6f-95b1-543eec016e08) has HTTP internet access allowed.,"**Azure NSG** are evaluated for inbound rules that allow public **HTTP** access on `TCP 80`, including cases where `80` is covered by a port range, from `0.0.0.0/0`, `Internet`, or `*`.","Exposing `TCP 80` to the Internet increases attack surface:
- Web recon and exploits compromise **integrity** and **availability**
- Cleartext HTTP can leak credentials, cookies, and data, harming **confidentiality**
- Public endpoints enable bot abuse and footholds for lateral movement","Apply **least privilege** at NSGs:
- Remove broad allows to `TCP 80`, or restrict to trusted sources
- Enforce **HTTPS (443)** and redirect or block HTTP
- Use **private access** patterns and segmentation for **defense in depth**
- If exposure is necessary, place services behind a **WAF**, enable **DDoS** protections, and monitor",Prowler v4,Azure,FND-0249,Azure-Subscription,2026-07-04,7.5,3,3,67.5,P1 - HIGH,MEDIUM,HIGH,0.617,4.63,MEDIUM,0.571
